Position,"Track Name",Artist,Streams,URL
1,"drivers license","Olivia Rodrigo",4454296,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
2,telepatía,"Kali Uchis",3905552,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
3,"Save Your Tears","The Weeknd",3743427,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
4,"Leave The Door Open","Bruno Mars",3600060,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
5,"Astronaut In The Ocean","Masked Wolf",3599322,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
6,"Blinding Lights","The Weeknd",3054055,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
7,DÁKITI,"Bad Bunny",2974038,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
8,"Heartbreak Anniversary",Giveon,2682082,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
9,"Hold On","Justin Bieber",2650349,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
10,"On The Ground",ROSÉ,2621556,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
11,"What’s Next",Drake,2535546,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
12,"Calling My Phone","Lil Tjay",2531096,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
13,Streets,"Doja Cat",2517705,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
14,"The Business",Tiësto,2511350,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
15,"Levitating (feat. DaBaby)","Dua Lipa",2483793,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
16,"WITHOUT YOU","The Kid LAROI",2401711,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
17,Bandido,"Myke Towers",2343611,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
18,Up,"Cardi B",2331507,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
19,"Mood (feat. iann dior)",24kGoldn,2317359,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
20,Dynamite,BTS,2234887,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
21,"LA NOCHE DE ANOCHE","Bad Bunny",2055565,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
22,"Watermelon Sugar","Harry Styles",2046308,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
23,"Ella No Es Tuya - Remix","Rochy RD",2034360,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
24,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1999703,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
25,"Wants and Needs (feat. Lil Baby)",Drake,1978297,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
26,"Good Days",SZA,1888537,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
27,"We're Good","Dua Lipa",1843311,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
